semana,sku,stock_cajas,demanda_semana,reabasto_cajas,dias_inventario,quiebre_stock,merma_cajas,punto_reorden
2023-01-02,SKU001,175,35,155,35.0,0,1,105
2023-01-09,SKU001,142,32,0,31.1,0,0,96
2023-01-16,SKU001,126,16,0,55.1,0,0,48
2023-01-23,SKU001,338,65,277,36.4,0,1,195
2023-01-30,SKU001,283,54,0,36.7,0,0,162
2023-02-06,SKU001,265,18,0,103.0,0,2,54
2023-02-13,SKU001,251,12,0,146.3,0,1,36
2023-02-20,SKU001,205,45,0,31.9,0,0,135
2023-02-27,SKU001,171,34,0,35.2,0,1,102
2023-03-06,SKU001,154,16,0,67.3,0,0,48
2023-03-13,SKU001,126,28,0,31.5,0,0,84
2023-03-20,SKU001,394,46,314,59.9,0,2,138
2023-03-27,SKU001,345,47,0,51.4,0,2,141
2023-04-03,SKU001,290,53,0,38.3,0,1,159
2023-04-10,SKU001,263,26,0,70.8,0,0,78
2023-04-17,SKU001,232,31,0,52.4,0,0,93
2023-04-24,SKU001,179,53,0,23.6,0,0,159
2023-05-01,SKU001,146,33,0,31.0,0,1,99
2023-05-08,SKU001,101,44,0,16.1,0,0,132
2023-05-15,SKU001,425,65,389,45.8,0,2,195
2023-05-22,SKU001,401,22,0,127.6,0,1,66
2023-05-29,SKU001,339,61,0,38.9,0,0,183
2023-06-05,SKU001,300,39,0,53.8,0,0,117
2023-06-12,SKU001,275,25,0,77.0,0,1,75
2023-06-19,SKU001,255,19,0,93.9,0,0,57
2023-06-26,SKU001,189,66,0,20.0,0,0,198
2023-07-03,SKU001,154,35,0,30.8,0,0,105
2023-07-10,SKU001,409,67,322,42.7,0,1,201
2023-07-17,SKU001,351,57,0,43.1,0,0,171
2023-07-24,SKU001,304,47,0,45.3,0,1,141
2023-07-31,SKU001,226,77,0,20.5,0,0,231
2023-08-07,SKU001,197,29,0,47.5,0,1,87
2023-08-14,SKU001,177,19,0,65.2,0,0,57
2023-08-21,SKU001,723,88,634,57.5,0,5,264
2023-08-28,SKU001,717,1,0,365.0,0,1,3
2023-09-04,SKU001,644,72,0,62.6,0,0,216
2023-09-11,SKU001,606,38,0,111.6,0,0,114
2023-09-18,SKU001,533,73,0,51.1,0,0,219
2023-09-25,SKU001,506,27,0,131.2,0,1,81
2023-10-02,SKU001,429,76,0,39.5,0,1,228
2023-10-09,SKU001,329,99,0,23.3,0,0,297
2023-10-16,SKU001,270,59,0,32.0,0,0,177
2023-10-23,SKU001,182,88,0,14.5,0,0,264
2023-10-30,SKU001,559,105,482,37.3,0,3,315
2023-11-06,SKU001,462,94,0,34.4,0,3,282
2023-11-13,SKU001,459,0,0,365.0,0,0,20
2023-11-20,SKU001,1,0,0,365.0,1,0,20
2023-11-27,SKU001,0,60,318,0.0,1,0,180
2023-12-04,SKU001,879,159,1038,38.7,0,3,477
2023-12-11,SKU001,702,174,0,28.2,0,5,522
2023-12-18,SKU001,605,92,0,46.0,0,0,276
2023-12-25,SKU001,506,99,0,35.8,0,3,297
2024-01-01,SKU001,488,15,0,227.6,0,1,45
2024-01-08,SKU001,482,5,0,365.0,0,3,15
2024-01-15,SKU001,468,11,0,297.6,0,3,33
2024-01-22,SKU001,417,48,0,60.8,0,1,144
2024-01-29,SKU001,375,41,0,64.0,0,2,123
2024-02-05,SKU001,327,46,0,49.8,0,0,138
2024-02-12,SKU001,315,12,0,183.6,0,0,36
2024-02-19,SKU001,286,29,0,69.0,0,1,87
2024-02-26,SKU001,230,55,0,29.3,0,0,165
2024-03-04,SKU001,212,18,0,82.4,0,0,54
2024-03-11,SKU001,191,21,0,63.6,0,0,63
2024-03-18,SKU001,140,51,0,19.2,0,0,153
2024-03-25,SKU001,486,66,412,51.5,0,3,198
2024-04-01,SKU001,423,60,0,49.3,0,0,180
2024-04-08,SKU001,333,90,0,25.9,0,0,270
2024-04-15,SKU001,310,23,0,94.3,0,0,69
2024-04-22,SKU001,291,19,0,107.2,0,1,57
2024-04-29,SKU001,259,31,0,58.5,0,0,93
2024-05-06,SKU001,223,36,0,43.4,0,0,108
2024-05-13,SKU001,558,92,427,42.5,0,3,276
2024-05-20,SKU001,519,36,0,100.9,0,1,108
2024-05-27,SKU001,431,87,0,34.7,0,0,261
2024-06-03,SKU001,402,29,0,97.0,0,2,87
2024-06-10,SKU001,269,131,0,14.4,0,1,393
2024-06-17,SKU001,239,29,0,57.7,0,1,87
2024-06-24,SKU001,884,96,742,64.5,0,3,288
2024-07-01,SKU001,826,55,0,105.1,0,4,165
2024-07-08,SKU001,765,57,0,93.9,0,1,171
2024-07-15,SKU001,734,30,0,171.2,0,1,90
2024-07-22,SKU001,685,48,0,99.9,0,2,144
2024-07-29,SKU001,631,52,0,84.9,0,4,156
2024-08-05,SKU001,577,50,0,80.8,0,2,150
2024-08-12,SKU001,539,36,0,104.8,0,3,108
2024-08-19,SKU001,495,41,0,84.5,0,2,123
2024-08-26,SKU001,418,75,0,39.0,0,0,225
2024-09-02,SKU001,374,44,0,59.5,0,0,132
2024-09-09,SKU001,318,56,0,39.7,0,0,168
2024-09-16,SKU001,290,28,0,72.5,0,2,84
2024-09-23,SKU001,234,54,0,30.3,0,0,162
2024-09-30,SKU001,177,57,0,21.7,0,0,171
2024-10-07,SKU001,635,88,546,50.5,0,1,264
2024-10-14,SKU001,604,30,0,140.9,0,0,90
2024-10-21,SKU001,546,58,0,65.9,0,0,174
2024-10-28,SKU001,505,41,0,86.2,0,1,123
2024-11-04,SKU001,432,72,0,42.0,0,0,216
2024-11-11,SKU001,363,69,0,36.8,0,1,207
2024-11-18,SKU001,0,7,0,0.0,1,0,21
2024-11-25,SKU001,156,27,183,40.4,0,0,81
2024-12-02,SKU001,875,163,882,37.6,0,5,489
2024-12-09,SKU001,811,59,0,96.2,0,4,177
2024-12-16,SKU001,725,82,0,61.9,0,4,246
2024-12-23,SKU001,681,40,0,119.2,0,0,120
2024-12-30,SKU001,681,0,0,365.0,0,4,20
2023-01-02,SKU002,211,53,214,27.9,0,0,159
2023-01-09,SKU002,502,89,380,39.5,0,1,267
2023-01-16,SKU002,431,70,0,43.1,0,1,210
2023-01-23,SKU002,399,31,0,90.1,0,0,93
2023-01-30,SKU002,333,66,0,35.3,0,2,198
2023-02-06,SKU002,278,53,0,36.7,0,1,159
2023-02-13,SKU002,210,67,0,21.9,0,0,201
2023-02-20,SKU002,439,74,303,41.5,0,0,222
2023-02-27,SKU002,372,67,0,38.9,0,2,201
2023-03-06,SKU002,287,83,0,24.2,0,1,249
2023-03-13,SKU002,219,67,0,22.9,0,0,201
2023-03-20,SKU002,515,86,382,41.9,0,0,258
2023-03-27,SKU002,395,120,0,23.0,0,2,360
2023-04-03,SKU002,289,104,0,19.5,0,1,312
2023-04-10,SKU002,201,87,0,16.2,0,0,261
2023-04-17,SKU002,1105,138,1042,56.0,0,6,414
2023-04-24,SKU002,978,121,0,56.6,0,0,363
2023-05-01,SKU002,862,116,0,52.0,0,0,348
2023-05-08,SKU002,729,133,0,38.4,0,5,399
